Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
46.663466	44.610169	46.271186	52.470475	46.663466	
52.009602	50.677966	49.966102	52.585694	52.009602	
52.470475	51.966102	50.915254	53.760922	52.470475	
53.115699	53.084746	51.288136	53.783965	53.115699	
53.184830	53.322034	52.372881	53.807009	53.184830	
53.415266	52.779661	52.440678	56.180509	53.415266	
53.507441	52.779661	52.338983	54.014402	53.507441	
53.645703	54.372881	52.610169	55.207873	53.645703	
53.691791	55.932203	52.745763	59.360538	53.691791	
53.783965	56.237288	52.881356	59.752280	53.783965	
54.060490	55.457627	52.983051	61.227076	54.060490	
54.267883	56.169492	54.305085	58.848776	54.267883	
56.042247	55.898305	54.610169	60.987998	56.042247	
56.503120	56.440678	54.474576	60.789246	56.503120	
57.517043	56.474576	54.542373	54.267883	57.517043	
57.632261	56.474576	54.338983	60.489678	57.632261	
58.254441	57.016949	55.220339	60.328373	58.254441	
58.554009	56.000000	55.016949	60.167067	58.554009	
58.899664	57.728814	55.525424	60.317811	58.899664	
58.899664	56.949153	55.796610	57.839654	58.899664	
59.268363	56.576271	55.694915	60.341815	59.268363	
59.544887	57.830508	54.847458	18.688430	59.544887	
59.913586	57.559322	56.169492	61.732117	59.913586	
60.028805	57.525424	55.525424	60.627940	60.028805	
60.028805	56.881356	55.830508	39.811810	60.005761	
60.051848	57.864407	56.305085	59.792607	60.051848	
60.305329	57.694915	56.983051	53.962554	60.305329	
60.374460	57.830508	57.050847	62.365819	60.374460	
60.489678	58.101695	56.881356	60.537686	60.489678	
60.697072	57.288136	57.322034	56.418627	60.697072	
60.858377	58.271186	57.322034	61.574652	60.858377	
60.996639	58.067797	57.186441	62.615458	60.996639	
60.996639	58.406780	57.288136	58.468555	60.973596	
61.107057	57.322034	57.389831	61.846375	61.107057	
61.346135	58.271186	57.118644	63.213634	61.346135	
61.346135	56.915254	57.661017	61.161786	61.295247	
61.479597	59.288136	57.661017	62.191071	61.479597	
61.626500	58.677966	57.932203	29.492079	61.626500	
61.630341	59.254237	57.627119	59.559289	61.630341	
62.099856	58.881356	58.406780	60.001920	62.099856	
62.122900	60.101695	57.966102	62.347576	62.122900	
62.463754	58.881356	58.372881	61.932789	62.463754	
62.615458	59.084746	58.101695	62.289006	62.615458	
62.799808	58.949153	58.305085	19.474796	62.799808	
62.938070	60.338983	58.203390	64.029765	62.938070	
62.961114	60.508475	58.576271	61.845415	62.961114	
63.209794	59.593220	58.305085	62.107537	63.209794	
63.366299	60.372881	59.186441	63.284686	63.366299	
63.684109	59.932203	58.067797	48.420547	63.684109	
63.684109	60.135593	59.389831	63.937590	63.596735	
63.684109	60.881356	58.745763	62.595295	63.481517	
63.827172	60.847458	59.762712	64.532885	63.827172	
63.873260	60.542373	59.457627	63.817571	63.873260	
64.011522	60.440678	59.966102	64.471435	64.011522	
64.278445	61.050847	60.203390	64.554969	64.278445	
64.504081	61.254237	60.033898	21.969275	64.504081	
64.504081	60.338983	59.830508	64.558809	64.434950	
64.550168	61.423729	60.610169	63.065771	64.550168	
64.757561	61.627119	61.627119	63.407585	64.757561	
64.821892	61.084746	60.949153	65.290446	64.821892	
64.840134	61.525424	61.084746	66.157465	64.840134	
64.840134	61.627119	61.118644	64.379261	64.821892	
65.098416	61.016949	61.762712	63.508401	65.098416	
65.144503	60.711864	61.016949	56.329333	65.144503	
65.144503	60.915254	61.050847	57.595775	65.121459	
65.172348	62.745763	61.796610	63.928949	65.172348	
65.172348	61.728814	62.101695	66.636582	65.080173	
65.218435	62.372881	61.796610	65.435430	65.218435	
65.264522	62.610169	62.779661	63.677388	65.264522	
65.333653	63.389831	62.847458	67.230917	65.333653	
65.494959	63.254237	62.576271	66.126740	65.494959	
65.702352	62.406780	62.237288	66.237158	65.702352	
65.789726	61.559322	63.796610	65.907825	65.789726	
65.858857	63.152542	63.118644	60.757561	65.858857	
65.858857	63.932203	62.610169	66.453193	65.789726	
66.361018	63.491525	63.559322	64.384061	66.361018	
66.361018	64.813559	63.322034	26.030725	66.227556	
66.453193	64.610169	64.000000	65.374940	66.453193	
66.453193	64.271186	64.000000	67.038886	66.384061	
66.591455	65.152542	63.457627	67.254921	66.591455	
66.844935	65.152542	64.406780	68.043207	66.844935	
66.983197	65.152542	64.135593	65.960634	66.983197	
67.282765	65.152542	65.118644	66.716275	67.282765	
67.393183	65.254237	64.949153	21.209794	67.393183	
67.393183	64.542373	64.372881	66.758521	67.121459	
67.614018	64.983051	65.593220	67.873260	67.614018	
67.637062	65.796610	64.677966	66.904465	67.637062	
67.637062	66.406780	65.355932	67.232837	67.637062	
67.821411	66.406780	65.016949	61.331733	67.821411	
67.913586	67.016949	65.084746	65.228036	67.913586	
68.369659	66.305085	66.135593	69.066731	68.369659	
68.369659	66.406780	65.288136	68.503120	68.167067	
68.369659	66.508475	65.694915	66.877580	68.144023	
68.374460	67.728814	65.525424	68.872780	68.374460	
68.374460	66.813559	66.203390	50.409986	68.282285	
68.443591	65.627119	66.677966	25.518003	68.443591	
68.669227	66.847458	66.542373	68.900624	68.669227	
68.669227	67.254237	66.949153	69.513202	68.489678	
68.669227	67.220339	67.525424	70.254441	68.632741	
68.881421	67.220339	67.322034	69.020643	68.881421	
69.079213	68.000000	66.610169	68.457993	69.079213	
69.397024	67.457627	66.711864	67.877100	69.397024	
69.397024	67.932203	67.830508	69.895343	69.319251	
69.443111	67.016949	68.000000	68.461834	69.443111	
69.493999	68.135593	67.525424	69.605377	69.493999	
69.632261	68.372881	68.508475	66.808449	69.632261	
69.701392	67.898305	68.169492	66.005761	69.701392	
69.701392	67.728814	68.440678	68.790206	69.678349	
69.954873	67.864407	68.644068	69.043687	69.954873	
69.959674	67.559322	69.118644	68.396543	69.959674	
70.217955	68.338983	69.152542	69.807969	70.217955	
70.217955	68.847458	68.983051	69.881901	70.028805	
70.217955	69.118644	68.644068	67.388382	70.167067	
70.217955	68.474576	69.050847	69.646663	70.074892	
70.217955	69.593220	68.576271	67.836774	70.120979	
70.217955	69.661017	68.949153	69.250120	70.028805	
70.268843	69.186441	69.423729	69.264522	70.268843	
70.287086	69.016949	69.966102	69.416227	70.287086	
70.287086	69.457627	68.711864	69.867499	70.236198	
70.356217	69.966102	69.288136	69.499760	70.356217	
70.420547	69.118644	69.389831	70.747960	70.420547	
70.425348	69.932203	70.000000	57.535286	70.425348	
70.535766	69.322034	70.474576	69.231877	70.535766	
70.535766	70.033898	70.474576	68.561690	70.448392	
70.540566	69.525424	69.559322	66.983197	70.540566	
70.609698	69.830508	70.949153	70.439750	70.609698	
70.609698	70.542373	70.677966	70.033605	70.581853	
