Best_Acc	Student_ACC	EMA_ACC	Validate_Acc	Ema_Valid_Acc	
47.654345	47.235294	47.941176	53.161786	47.654345	
53.728277	55.764706	55.647059	53.599616	53.728277	
53.930869	57.117647	57.470588	53.783965	53.930869	
53.930869	55.588235	55.823529	53.807009	53.853096	
53.930869	55.352941	55.411765	54.210274	53.894383	
53.930869	56.294118	56.529412	53.783965	53.889582	
53.930869	54.764706	54.588235	53.737878	53.737878	
53.930869	56.470588	56.647059	53.300048	53.691791	
53.930869	56.470588	56.705882	53.415266	53.668747	
53.930869	56.647059	56.705882	53.737878	53.760922	
53.930869	57.176471	56.941176	53.792607	53.783965	
53.930869	56.705882	56.470588	53.507441	53.691791	
53.930869	55.823529	56.058824	53.668747	53.714834	
53.930869	54.941176	54.705882	53.783965	53.756121	
53.930869	54.176471	54.529412	53.746519	53.760922	
53.930869	55.529412	55.647059	53.733077	53.686990	
53.930869	57.411765	57.470588	53.783965	53.756121	
53.930869	55.411765	56.058824	53.622660	53.751320	
53.930869	56.529412	56.117647	53.737878	53.779165	
53.930869	56.941176	57.000000	53.899184	53.783965	
53.930869	54.882353	55.117647	53.617859	53.590014	
53.930869	57.058824	57.176471	53.871339	53.737878	
53.930869	55.823529	55.823529	53.903024	53.774364	
53.930869	56.352941	56.411765	53.876140	53.830053	
53.930869	55.941176	56.176471	53.783965	53.843495	
53.930869	57.588235	57.941176	53.760922	53.802208	
53.930869	58.176471	58.352941	53.737878	53.756121	
53.930869	56.882353	56.941176	53.691791	53.640903	
53.930869	57.235294	57.058824	54.192031	53.866539	
53.930869	55.705882	55.411765	53.922228	53.820451	
53.930869	58.235294	58.000000	53.691791	53.843495	
53.930869	54.823529	54.823529	53.876140	53.825252	
53.930869	57.235294	57.176471	53.737878	53.686990	
53.930869	57.470588	57.588235	53.530485	53.783965	
53.930869	57.705882	57.647059	53.807009	53.830053	
53.930869	56.235294	56.000000	53.737878	53.807009	
53.930869	55.882353	56.176471	53.871339	53.783965	
53.930869	56.941176	56.294118	53.899184	53.899184	
53.930869	55.823529	55.411765	53.876140	53.807009	
53.930869	57.176471	56.764706	54.564570	53.807009	
53.930869	55.058824	55.058824	54.225636	53.737878	
53.930869	55.588235	55.000000	54.344695	53.830053	
53.930869	55.117647	54.058824	54.441671	53.853096	
53.930869	56.529412	56.529412	53.991359	53.876140	
53.930869	57.176471	56.823529	54.055689	53.876140	
53.930869	57.352941	57.058824	54.248680	53.853096	
53.930869	54.529412	54.058824	54.530005	53.853096	
53.930869	56.705882	56.117647	54.502160	53.899184	
53.930869	56.470588	56.294118	54.451272	53.876140	
53.930869	56.588235	56.058824	54.992799	53.922228	
53.968315	55.294118	55.411765	54.928469	53.968315	
53.968315	56.529412	56.058824	54.299568	53.968315	
54.060490	57.000000	56.941176	54.101776	54.060490	
54.060490	55.294118	54.823529	57.387422	54.032645	
54.060490	56.235294	55.764706	55.089774	54.014402	
54.060490	55.411765	53.823529	55.456553	54.055689	
54.060490	57.823529	57.411765	55.204993	54.014402	
54.060490	55.764706	55.117647	54.166107	54.014402	
54.147864	55.882353	55.294118	55.015843	54.147864	
54.235238	56.588235	55.941176	54.956313	54.235238	
54.235238	57.823529	57.823529	54.174748	54.170907	
54.235238	56.117647	55.588235	54.497360	54.193951	
54.263082	56.176471	55.117647	55.871339	54.263082	
54.263082	57.647059	57.235294	55.214594	54.175708	
54.437830	58.764706	57.647059	55.317331	54.437830	
54.437830	56.235294	55.470588	55.552568	54.419587	
54.502160	57.058824	56.235294	55.395103	54.502160	
54.538646	58.176471	57.470588	55.495919	54.538646	
54.538646	57.705882	56.882353	55.480557	54.483917	
54.538646	58.117647	56.352941	57.798368	54.497360	
54.754681	56.823529	56.588235	59.989438	54.754681	
54.754681	56.411765	55.705882	54.735478	54.657705	
54.754681	57.117647	56.352941	56.263082	54.731637	
54.795967	57.411765	56.058824	55.936630	54.795967	
54.795967	58.176471	57.470588	57.463274	54.718195	
54.795967	57.941176	57.117647	56.481997	54.763322	
54.795967	58.588235	57.352941	55.099376	54.763322	
54.942871	57.058824	56.294118	55.191551	54.942871	
54.942871	57.176471	56.705882	55.518963	54.865098	
55.039846	58.058824	56.176471	55.468075	55.039846	
55.039846	57.117647	55.882353	57.407585	54.970715	
55.067691	58.235294	58.235294	56.429189	55.067691	
55.173308	58.588235	57.058824	55.827172	55.173308	
55.173308	56.764706	56.764706	56.610658	55.150264	
55.173308	56.588235	55.647059	55.280845	55.021603	
